id,countryCode,displayOfficialName,top_league
200122,ESP,Spain,La Liga
200039,ENG,England,Premier League
200066,ITA,Italy,Serie A
200043,FRA,France,Ligue 1
200047,GER,Germany,Bundesliga
200110,POR,Portugal,Primeira Liga
200095,NED,Netherlands,Eredivisie
200049,GRE,Greece,Super League Greece
200013,BEL,Belgium,Belgian Pro League
200117,SCO,Scotland,Scottish Premiership
200135,TUR,Türki̇ye,Süper Lig
258837,CZE,Czechia,Czech First League
257451,RUS,Russia,Russian Premier League
200008,AUT,Austria,Austrian Bundesliga
257166,UKR,Ukraine,Ukrainian Premier League
200065,ISR,Israel,Israeli Premier League
200147,SRB,Serbia,Serbian SuperLiga
200109,POL,Poland,Ekstraklasa
200128,SUI,Switzerland,Swiss Super League
200101,NOR,Norway,Eliteserien
200020,BUL,Bulgaria,First Professional Football League
256370,CRO,Croatia,Croatian Football League (HNL)
200035,DEN,Denmark,Danish Superliga
200057,HUN,Hungary,Nemzeti Bajnokság I
200113,ROU,Romania,Liga I
200127,SWE,Sweden,Allsvenskan
258836,SVK,Slovakia,Slovak First Football League
257163,SVN,Slovenia,Slovenian PrvaLiga
200033,CYP,Cyprus,Cypriot First Division
260094,BIH,Bosnia and Herzegovina,Premier League of Bosnia and Herzegovina
256558,LVA,Latvia,Latvian Higher League
200042,FIN,Finland,Veikkausliiga
257160,MDA,Moldova,Moldovan Liga
257157,GEO,Georgia,Erovnuli Liga
256557,LTU,Lithuania,A Lyga
200058,ISL,Iceland,Besta deild karla
259205,MKD,North Macedonia,Macedonian First Football League
200064,IRL,Republic of Ireland,League of Ireland Premier Division
257155,BLR,Belarus,Belarusian Premier League
200081,LIE,Liechtenstein,N/A (no domestic league; clubs play in Swiss system)
257419,ARM,Armenia,Armenian Premier League
200088,MLT,Malta,Maltese Premier League
200002,ALB,Albania,Kategoria Superiore
256556,EST,Estonia,Meistriliiga
200063,NIR,Northern Ireland,NIFL Premiership
200144,WAL,Wales,Cymru Premier
200082,LUX,Luxembourg,Luxembourg National Division
257154,AZE,Azerbaijan,Azerbaijan Premier League
251218,FRO,Faroe Islands,Faroe Islands Premier League
265146,KAZ,Kazakhstan,Kazakhstan Premier League
260618,AND,Andorra,Primera Divisió
250168,SMR,San Marino,Campionato Sammarinese di Calcio
292853,MNE,Montenegro,Montenegrin First League
294080,GIB,Gibraltar,Gibraltar Football League
250005899,KOS,Kosovo,Football Superleague of Kosovo
